"country","gci_tier","iso3c","year","gci_overall","gci_rank","source_slug"
"Mauritius",NA,"MUS",2020,96.89,17,"d-str-gci.01-2021-htm-e"
"Mauritius",1,"MUS",2024,97.5,NA,NA
"Malawi",NA,"MWI",2020,36.83,97,"d-str-gci.01-2021-htm-e"
"Malawi",3,"MWI",2024,70,NA,NA
"Malaysia",NA,"MYS",2020,98.06,5,"d-str-gci.01-2021-htm-e"
"Malaysia",1,"MYS",2024,97.5,NA,NA
"Namibia",NA,"NAM",2020,11.47,155,"d-str-gci.01-2021-htm-e"
"Namibia",4,"NAM",2024,37.5,NA,NA
"Niger",NA,"NER",2020,11.38,156,"d-str-gci.01-2021-htm-e"
"Niger",4,"NER",2024,37.5,NA,NA
"Nigeria",NA,"NGA",2020,84.76,47,"d-str-gci.01-2021-htm-e"
"Nigeria",3,"NGA",2024,70,NA,NA
"Nicaragua",NA,"NIC",2020,9,165,"d-str-gci.01-2021-htm-e"
"Nicaragua",4,"NIC",2024,37.5,NA,NA
"Netherlands",NA,"NLD",2020,97.05,16,"d-str-gci.01-2021-htm-e"
"Netherlands (Kingdom",1,"NLD",2024,97.5,NA,NA
"Norway",NA,"NOR",2020,96.89,17,"d-str-gci.01-2021-htm-e"
"Norway",1,"NOR",2024,97.5,NA,NA
"Nepal",NA,"NPL",2020,44.99,94,"d-str-gci.01-2021-htm-e"
"Nepal",3,"NPL",2024,70,NA,NA
"Nauru",NA,"NRU",2020,21.42,127,"d-str-gci.01-2021-htm-e"
"Nauru",4,"NRU",2024,37.5,NA,NA
"New Zealand",NA,"NZL",2020,84.04,48,"d-str-gci.01-2021-htm-e"
"New Zealand",3,"NZL",2024,70,NA,NA
"Oman",NA,"OMN",2020,96.04,21,"d-str-gci.01-2021-htm-e"
"Oman",1,"OMN",2024,97.5,NA,NA
"Pakistan",NA,"PAK",2020,64.88,79,"d-str-gci.01-2021-htm-e"
"Pakistan",1,"PAK",2024,97.5,NA,NA
"Panama",NA,"PAN",2020,34.11,103,"d-str-gci.01-2021-htm-e"
"Panama",3,"PAN",2024,70,NA,NA
"Peru",NA,"PER",2020,55.67,86,"d-str-gci.01-2021-htm-e"
"Peru",3,"PER",2024,70,NA,NA
"Philippines",NA,"PHL",2020,77,61,"d-str-gci.01-2021-htm-e"
"Philippines",2,"PHL",2024,90,NA,NA
"Papua New Guinea",NA,"PNG",2020,26.33,118,"d-str-gci.01-2021-htm-e"
"Papua New Guinea",3,"PNG",2024,70,NA,NA
"Poland",NA,"POL",2020,93.86,30,"d-str-gci.01-2021-htm-e"
"Poland",2,"POL",2024,90,NA,NA
"Korea, Dem. People's Rep.",NA,"PRK",2020,1.35,181,"d-str-gci.01-2021-htm-e"
"Portugal",NA,"PRT",2020,97.32,14,"d-str-gci.01-2021-htm-e"
"Portugal",1,"PRT",2024,97.5,NA,NA
"Paraguay",NA,"PRY",2020,57.09,84,"d-str-gci.01-2021-htm-e"
"Paraguay",3,"PRY",2024,70,NA,NA
"Palestine",NA,"PSE",2020,25.18,122,"d-str-gci.01-2021-htm-e"
"Palestine",4,"PSE",2024,37.5,NA,NA
"Qatar",NA,"QAT",2020,94.5,27,"d-str-gci.01-2021-htm-e"
"Qatar",1,"QAT",2024,97.5,NA,NA
"Romania",NA,"ROU",2020,76.29,62,"d-str-gci.01-2021-htm-e"
"Romania",2,"ROU",2024,90,NA,NA
"Russia",NA,"RUS",2020,98.06,5,"d-str-gci.01-2021-htm-e"
"Russia",2,"RUS",2024,90,NA,NA
"Rwanda",NA,"RWA",2020,79.95,57,"d-str-gci.01-2021-htm-e"
"Rwanda",1,"RWA",2024,97.5,NA,NA
"Saudi Arabia",NA,"SAU",2020,99.54,2,"d-str-gci.01-2021-htm-e"
"Saudi Arabia",1,"SAU",2024,97.5,NA,NA
"Sudan",NA,"SDN",2020,35.03,102,"d-str-gci.01-2021-htm-e"
"Sudan",4,"SDN",2024,37.5,NA,NA
"Senegal",NA,"SEN",2020,35.85,100,"d-str-gci.01-2021-htm-e"
"Senegal",3,"SEN",2024,70,NA,NA
"Singapore",NA,"SGP",2020,98.52,4,"d-str-gci.01-2021-htm-e"
"Singapore",1,"SGP",2024,97.5,NA,NA
"Solomon Islands",NA,"SLB",2020,7.08,166,"d-str-gci.01-2021-htm-e"
"Solomon Islands",5,"SLB",2024,10,NA,NA
"Sierra Leone",NA,"SLE",2020,25.31,121,"d-str-gci.01-2021-htm-e"
"Sierra Leone",3,"SLE",2024,70,NA,NA
"El Salvador",NA,"SLV",2020,13.3,148,"d-str-gci.01-2021-htm-e"
"El Salvador",4,"SLV",2024,37.5,NA,NA
"San Marino",NA,"SMR",2020,13.83,146,"d-str-gci.01-2021-htm-e"
"San Marino",4,"SMR",2024,37.5,NA,NA
"Somalia",NA,"SOM",2020,17.25,137,"d-str-gci.01-2021-htm-e"
"Somalia",4,"SOM",2024,37.5,NA,NA
"Serbia",NA,"SRB",2020,89.8,39,"d-str-gci.01-2021-htm-e"
"Serbia",1,"SRB",2024,97.5,NA,NA
"South Sudan",NA,"SSD",2020,5.75,169,"d-str-gci.01-2021-htm-e"
"South Sudan",4,"SSD",2024,37.5,NA,NA
"Sao Tome and Principe",NA,"STP",2020,15.64,141,"d-str-gci.01-2021-htm-e"
"Sao Tome and Principe",4,"STP",2024,37.5,NA,NA
"Suriname",NA,"SUR",2020,31.2,108,"d-str-gci.01-2021-htm-e"
"Suriname",4,"SUR",2024,37.5,NA,NA
"Slovakia",NA,"SVK",2020,92.36,34,"d-str-gci.01-2021-htm-e"
"Slovakia",2,"SVK",2024,90,NA,NA
"Slovenia",NA,"SVN",2020,74.93,67,"d-str-gci.01-2021-htm-e"
"Slovenia",1,"SVN",2024,97.5,NA,NA
"Sweden",NA,"SWE",2020,94.55,26,"d-str-gci.01-2021-htm-e"
"Sweden",1,"SWE",2024,97.5,NA,NA
"Eswatini",NA,"SWZ",2020,18.23,135,"d-str-gci.01-2021-htm-e"
"Eswatini",3,"SWZ",2024,70,NA,NA
"Seychelles",NA,"SYC",2020,13.23,149,"d-str-gci.01-2021-htm-e"
"Seychelles",4,"SYC",2024,37.5,NA,NA
"Syrian Arab Republic",NA,"SYR",2020,22.14,126,"d-str-gci.01-2021-htm-e"
"Syrian Arab Republic State of)",4,"SYR",2024,37.5,NA,NA
"Chad",NA,"TCD",2020,40.44,95,"d-str-gci.01-2021-htm-e"
"Chad",4,"TCD",2024,37.5,NA,NA
"Togo",NA,"TGO",2020,33.19,105,"d-str-gci.01-2021-htm-e"
"Togo",2,"TGO",2024,90,NA,NA
"Thailand",NA,"THA",2020,86.5,44,"d-str-gci.01-2021-htm-e"
"Thailand",1,"THA",2024,97.5,NA,NA
"Tajikistan",NA,"TJK",2020,17.1,138,"d-str-gci.01-2021-htm-e"
"Tajikistan",4,"TJK",2024,37.5,NA,NA
"Turkmenistan",NA,"TKM",2020,14.48,144,"d-str-gci.01-2021-htm-e"
"Turkmenistan",4,"TKM",2024,37.5,NA,NA
"Timor-Leste",NA,"TLS",2020,4.26,173,"d-str-gci.01-2021-htm-e"
"Timor-Leste",5,"TLS",2024,10,NA,NA
"Tonga",NA,"TON",2020,20.95,128,"d-str-gci.01-2021-htm-e"
"Tonga",4,"TON",2024,37.5,NA,NA
"Trinidad and Tobago",NA,"TTO",2020,22.18,125,"d-str-gci.01-2021-htm-e"
"Trinidad and Tobago",3,"TTO",2024,70,NA,NA
"Tunisia",NA,"TUN",2020,86.23,45,"d-str-gci.01-2021-htm-e"
"Tunisia",3,"TUN",2024,70,NA,NA
"Turkey",NA,"TUR",2020,97.49,11,"d-str-gci.01-2021-htm-e"
"Turkey",1,"TUR",2024,97.5,NA,NA
