"spec","model","outcome","income_group_model","regressor","term","estimate","std.error","p.value","estimate_fmt","std.error_fmt","p.value_fmt","nobs"
"Income-group heterogeneity FE","Upper middle income__gdp_growth__cyber_incidents_log","gdp_growth","Upper middle income","cyber_incidents_log","l1_trade_gdp",-0.0809745169906019,0.0547891140816776,0.148122728349484,"-0.081","(0.055)","0.148",238
"Income-group heterogeneity FE","Upper middle income__gdp_growth__cyber_incidents_log","gdp_growth","Upper middle income","cyber_incidents_log","l1_population_total",-3.61122191670605e-08,3.7631182695443e-08,0.343639889345711,"-0.000","(0.000)","0.344",238
"Income-group heterogeneity FE","Upper middle income__gdp_growth__gci_overall","gdp_growth","Upper middle income","gci_overall","l1_gci_overall",0.0298916633256904,0.0547227698303398,0.587936294145149,"0.030","(0.055)","0.588",402
"Income-group heterogeneity FE","Upper middle income__gdp_growth__gci_overall","gdp_growth","Upper middle income","gci_overall","l1_inflation_cpi",0.0506764225925585,0.0704073075240882,0.475857011794451,"0.051","(0.070)","0.476",402
"Income-group heterogeneity FE","Upper middle income__gdp_growth__gci_overall","gdp_growth","Upper middle income","gci_overall","l1_trade_gdp",-0.0630841758784374,0.024586359781679,0.0141455604523712,"-0.063*","(0.025)","0.014",402
"Income-group heterogeneity FE","Upper middle income__gdp_growth__gci_overall","gdp_growth","Upper middle income","gci_overall","l1_population_total",-9.65196189760997e-08,3.69614654559975e-08,0.0126359946793327,"-0.000*","(0.000)","0.013",402
"Income-group heterogeneity FE","Upper middle income__gdp_growth__gci_overall_norm","gdp_growth","Upper middle income","gci_overall_norm","l1_gci_overall_norm",3.90878744363781,6.86203673606856,0.572117481724887,"3.909","(6.862)","0.572",402
"Income-group heterogeneity FE","Upper middle income__gdp_growth__gci_overall_norm","gdp_growth","Upper middle income","gci_overall_norm","l1_inflation_cpi",0.0528550155055184,0.0701144856979659,0.455360885878692,"0.053","(0.070)","0.455",402
"Income-group heterogeneity FE","Upper middle income__gdp_growth__gci_overall_norm","gdp_growth","Upper middle income","gci_overall_norm","l1_trade_gdp",-0.0626784438361158,0.0236445943810898,0.0114479862770333,"-0.063*","(0.024)","0.011",402
"Income-group heterogeneity FE","Upper middle income__gdp_growth__gci_overall_norm","gdp_growth","Upper middle income","gci_overall_norm","l1_population_total",-1.02146270494475e-07,3.54655904367246e-08,0.00635770104166036,"-0.000**","(0.000)","0.006",402
"Income-group heterogeneity FE","Upper middle income__gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed","Upper middle income","cyber_incidents_log","l1_cyber_incidents_log",-21.4411941266232,459.731824011651,0.963059129332199,"-21.441","(459.732)","0.963",236
"Income-group heterogeneity FE","Upper middle income__gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed","Upper middle income","cyber_incidents_log","l1_inflation_cpi",82.6272368601757,66.3617292136279,0.221137721836499,"82.627","(66.362)","0.221",236
"Income-group heterogeneity FE","Upper middle income__gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed","Upper middle income","cyber_incidents_log","l1_trade_gdp",-81.6637886414823,33.997258126593,0.0215865953600346,"-81.664*","(33.997)","0.022",236
"Income-group heterogeneity FE","Upper middle income__gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed","Upper middle income","cyber_incidents_log","l1_population_total",0.000159825174388283,0.000114275129904164,0.170489229012881,"0.000","(0.000)","0.170",236
